id,ADDRESS_ID_SAP_HELVEX,Nombre,IdenSucursal,Calle,Numero,Interior,Colonia,Localidad,Municipio,Estado,CP,Pais,Activo,Facturar A,Enviar A
 , ,GILSA SA DE CV,MARGAIN,RICARDO MARGAIN 777 NORTE, , ,SANTA ENGRACIA, ,SAN PEDRO GARZA GARCIA,NL,66267,MX, , ,
 , ,NISSAN AGUASCALIENTES,H001661,CARRET FEDERAL 45 SUR KM 112 SN, , ,EJIDOS MONTERO Y PEÑUELOS, ,AGUASCALIENTES,AGS,20230,MX, , ,
 , ,ORIENTAL GRILL MERIDA,H001625,CALLE 30 355, , ,FRACC MONTEBELLO, ,MERIDA,YUC,97133,MX, , ,
 , ,CASINO MONARCA,H001487,AV INSURGENTES SUR 953, , ,NAPOLES, ,BENITO JUAREZ,DF,03810,MX, , ,
 , ,GILSA SA DE CV,MARGAIN,RICARDO MARGAIN 777 NORTE, , ,SANTA ENGRACIA, ,SAN PEDRO GARZA GARCIA,NL,66267,MX, , ,
 , ,CASINO MONARCA,H001487,AV INSURGENTES SUR 953, , ,NAPOLES, ,BENITO JUAREZ,DF,03810,MX, , ,
 , ,GILSA SA DE CV,MARGAIN,RICARDO MARGAIN 777 NORTE, , ,SANTA ENGRACIA, ,SAN PEDRO GARZA GARCIA,NL,66267,MX, , ,
 , ,NISSAN AGUASCALIENTES,H001661,CARRET FEDERAL 45 SUR KM 112 SN, , ,EJIDOS MONTERO Y PEÑUELOS, ,AGUASCALIENTES,AGS,20230,MX, , ,
 , ,ORIENTAL GRILL MERIDA,H001625,CALLE 30 355, , ,FRACC MONTEBELLO, ,MERIDA,YUC,97133,MX, , ,
 , ,CASINO MONARCA,H001487,AV INSURGENTES SUR 953, , ,NAPOLES, ,BENITO JUAREZ,DF,03810,MX, , ,
 , ,GILSA SA DE CV,MARGAIN,RICARDO MARGAIN 777 NORTE, , ,SANTA ENGRACIA, ,SAN PEDRO GARZA GARCIA,NL,66267,MX, , ,
 , ,CASINO MONARCA,H001487,AV INSURGENTES SUR 953, , ,NAPOLES, ,BENITO JUAREZ,DF,03810,MX, , ,
 , ,GILSA SA DE CV,MARGAIN,RICARDO MARGAIN 777 NORTE, , ,SANTA ENGRACIA, ,SAN PEDRO GARZA GARCIA,NL,66267,MX, , ,
 , ,NISSAN AGUASCALIENTES,H001661,CARRET FEDERAL 45 SUR KM 112 SN, , ,EJIDOS MONTERO Y PEÑUELOS, ,AGUASCALIENTES,AGS,20230,MX, , ,
 , ,ORIENTAL GRILL MERIDA,H001625,CALLE 30 355, , ,FRACC MONTEBELLO, ,MERIDA,YUC,97133,MX, , ,
 , ,INMOBILIARIA Y CONSTRUCCIONES DE MEXICO,H001496,LEÑEROS 109, , ,VISTA HERMOSA, ,CUERNAVACA,MOR,62290,MX, , ,
 , ,CASINO MONARCA,H001487,AV INSURGENTES SUR 953, , ,NAPOLES, ,BENITO JUAREZ,DF,03810,MX, , ,
 , ,GILSA SA DE CV,MARGAIN,RICARDO MARGAIN 777 NORTE, , ,SANTA ENGRACIA, ,SAN PEDRO GARZA GARCIA,NL,66267,MX, , ,
 , ,CASINO MONARCA,H001487,AV INSURGENTES SUR 953, , ,NAPOLES, ,BENITO JUAREZ,DF,03810,MX, , ,
 , ,GILSA SA DE CV,21-02,INSURGENTES 4070, , ,SAN JERONIMO, ,MONTERREY,NL,64630,MX, , ,
